 Count  Overhead File                    Line Function
    15         0 …lvers/CommonSolver.jl   359 macro expansion
    16         0 @FLoops/src/reduce.jl    817 ##reducing_function#293#35
    16         0 …lvers/CommonSolver.jl   436 macro expansion
    16         0 …lvers/CommonSolver.jl    81 PBiCGSTAB!(wk::WorkBuffers, Δh::T…
    16         0 …lvers/CommonSolver.jl   385 BiCG1!(p::Array{Float64, 3}, r::A…
    17         0 …lvers/CommonSolver.jl   268 macro expansion
    19         0 …lvers/CommonSolver.jl   280 macro expansion
    19        19 @FLoops/src/reduce.jl    818 ##reducing_function#255#15
    20         0 @FLoops/src/reduce.jl    817 ##reducing_function#248#11
    21         0 …lvers/CommonSolver.jl    99 PBiCGSTAB!(wk::WorkBuffers, Δh::T…
    21         0 …lvers/CommonSolver.jl   435 BICG2!(z::Array{Float64, 3}, x::A…
    21        21 @Base/float.jl             ? rem_internal(x::Float64, y::Float…
    21         0 …lvers/CommonSolver.jl    57 PBiCGSTAB!(wk::WorkBuffers, Δh::T…
    21         0 …lvers/CommonSolver.jl   187 CalcRK!(r::Array{Float64, 3}, θ::…
    21         1 …lvers/CommonSolver.jl   259 macro expansion
    22         0 @Base/array.jl           993 setindex!
    22        22 @Base/float.jl           595 rem
    23         0 @Base/array.jl           930 getindex
    23        23 @Base/essentials.jl      917 getindex
    23         0 @Base/operators.jl       596 *
    24         0 @FLoops/src/reduce.jl    728 macro expansion
    25         0 …lvers/CommonSolver.jl   274 macro expansion
    26         0 @Base/float.jl           596 rem
    27        19 @Base/essentials.jl      916 getindex
    28        28 @Base/float.jl           492 -
    32         0 …/src/InitialValues.jl   306 AdjoinIdentity
    42         0 …lvers/CommonSolver.jl   271 macro expansion
    43         0 …lvers/CommonSolver.jl   270 macro expansion
    48         0 @Base/div.jl              99 rem
    48         0 …lvers/CommonSolver.jl   269 macro expansion
    63        63 @Base/float.jl           493 *
    69         0 @Base/div.jl              49 div
    69         0 @Base/div.jl             345 div
    69         0 @Base/div.jl             372 div
    79         0 …lvers/CommonSolver.jl   277 macro expansion
    80        80 @Base/abstractarray.jl   697 checkbounds
    84         0 …/src/utils/commons.jl    24 λf
    84         0 @Base/abstractarray.jl    98 axes
    84        84 @Base/array.jl           194 size
    94         0 @Base/abstractarray.jl   681 checkbounds
   186        92 @Base/abstractarray.jl   699 checkbounds
   193         0 …lvers/CommonSolver.jl    87 PBiCGSTAB!(wk::WorkBuffers, Δh::T…
   222         0 …lvers/CommonSolver.jl    95 PBiCGSTAB!(wk::WorkBuffers, Δh::T…
   244         0 @Base/array.jl           929 getindex
   396         0 @FLoops/src/reduce.jl    817 ##reducing_function#255#15
   415         0 …lvers/CommonSolver.jl   258 CalcAX!(ax::Array{Float64, 3}, θ:…
   485         8 …/src/InitialValues.jl   306 (::InitialValues.AdjoinIdentity{M…
   504         0 …ansducers/src/core.jl   287 next
   504         8 …rs/src/combinators.jl   290 next
   506         0 …cers/src/processes.jl   322 _foldl_product
   506         0 …ansducers/src/simd.jl    41 macro expansion
   506         0 …cers/src/processes.jl   323 macro expansion
   506         2 …ansducers/src/core.jl   181 macro expansion
   508         0 …solvers/DHCPSolver.jl   268 solve_dhcp!(T_initial::Array{Floa…
   508         0 …lvers/CommonSolver.jl    43 PBiCGSTAB!
   512         0 @FLoops/src/reduce.jl    829 macro expansion
   512         0 @FLoops/src/reduce.jl    851 _fold
   512         0 …cers/src/executors.jl   150 transduce
   512         0 …cers/src/processes.jl   500 transduce
   512         0 …cers/src/processes.jl   502 transduce(xform::Transducers.Iden…
   512         0 …cers/src/processes.jl   508 transduce
