 Count  Overhead File                    Line Function
     2         2 @Base/abstractarray.jl  1561 dataids
     2         0 …vers/AdjointSolver.jl   141 build_adjoint_system!(λ_initial::…
     2         0 …vers/AdjointSolver.jl   306 assemble_adjoint_matrix(ni::Int64…
     2         0 …vers/AdjointSolver.jl   309 assemble_adjoint_matrix(ni::Int64…
     2         0 …/solvers/CGMSolver.jl   350 solve_cgm!(T_init::Array{Float64,…
     2         2 …lgebra/src/generic.jl     ? norm(itr::Vector{Float64}, p::Int…
     2         2 …s/src/sparsematrix.jl     ? diag(A::SparseArrays.SparseMatrix…
     2         2 @Base/essentials.jl        ? getindex
     2         0 …s/src/sparsematrix.jl  1272 sparse!(I::Vector{Int64}, J::Vect…
     3         0 @Base/array.jl          1114 _growend!
     3         3 …solvers/DHCPSolver.jl     ? solve_dhcp!(T_initial::Array{Floa…
     3         0 …vers/AdjointSolver.jl   278 assemble_adjoint_matrix(ni::Int64…
     3         3 @Base/abstractarray.jl     ? checkbounds
     3         3 …s/src/sparsematrix.jl  4290 diag(A::SparseArrays.SparseMatrix…
     3         0 …eArrays/src/linalg.jl    88 _spmatmul!(C::Vector{Float64}, A:…
     3         0 @Base/bool.jl            182 *
     3         0 @Base/bool.jl            180 *
     3         0 …tiveSolvers/src/cg.jl   239 cg!(x::Vector{Float64}, A::Sparse…
     3         3 …olvers/src/history.jl   197 shrink!(ch::IterativeSolvers.Conv…
     3         0 …s/src/sparsematrix.jl  1185 sparse!(I::Vector{Int64}, J::Vect…
     3         0 @Base/abstractarray.jl  1562 dataids
     3         0 …s/src/sparsevector.jl   435 setindex!
     3         0 …vers/AdjointSolver.jl   299 assemble_adjoint_matrix(ni::Int64…
     3         2 …s/src/sparsematrix.jl  1265 sparse!(I::Vector{Int64}, J::Vect…
     3         0 …vers/AdjointSolver.jl   284 assemble_adjoint_matrix(ni::Int64…
     3         0 …solvers/DHCPSolver.jl   172 build_dhcp_system!(T_initial::Arr…
     3         0 …s/src/sparsematrix.jl  1223 sparse!(I::Vector{Int64}, J::Vect…
     3         0 …solvers/DHCPSolver.jl   164 build_dhcp_system!(T_initial::Arr…
     3         0 …solvers/DHCPSolver.jl   125 build_dhcp_system!(T_initial::Arr…
     3         0 …s/src/sparsematrix.jl  1268 sparse!(I::Vector{Int64}, J::Vect…
     3         3 …/ThermalProperties.jl     ? thermal_properties_calculator(Tem…
     3         1 …s/src/sparsematrix.jl  4287 diag(A::SparseArrays.SparseMatrix…
     4         4 @Base/array.jl             ? push!
     4         4 @Base/array.jl          1113 _growend!
     4         0 …olvers/src/history.jl   136 push!(ch::IterativeSolvers.Conver…
     4         3 …olvers/src/history.jl   139 push_custom_data!(ch::IterativeSo…
     4         0 …s/src/sparsevector.jl   988 getindex
     4         0 …vers/AdjointSolver.jl   285 assemble_adjoint_matrix(ni::Int64…
     4         4 @Base/simdloop.jl         75 macro expansion
     4         0 …solvers/DHCPSolver.jl   375 solve_dhcp!(T_initial::Array{Floa…
     4         0 @Base/subarray.jl        214 view
     4         0 @Base/abstractarray.jl   689 checkbounds
     4         0 @Base/broadcast.jl       969 copyto!
     4         0 @Base/broadcast.jl       955 preprocess_args
     4         4 @Base/abstractarray.jl     ? iterate
     4         0 @Base/abstractarray.jl  1500 unalias
     4         0 @Base/abstractarray.jl  1537 mightalias
     4         0 …vers/AdjointSolver.jl   115 build_adjoint_system!(λ_initial::…
     4         0 @Base/math.jl           1215 pow_body(x::Float64, n::Int64)
     4         0 @Base/array.jl          1107 _growend!
     4         0 …vers/AdjointSolver.jl   307 assemble_adjoint_matrix(ni::Int64…
     4         0 …/ThermalProperties.jl    36 polyval_numba
     4         4 @Base/essentials.jl        ? build_dhcp_system!(T_initial::Arr…
     4         0 …solvers/DHCPSolver.jl   179 build_dhcp_system!(T_initial::Arr…
     4         0 …solvers/DHCPSolver.jl   277 assemble_dhcp_matrix(ni::Int64, n…
     4         0 …vers/AdjointSolver.jl   166 build_adjoint_system!(λ_initial::…
     4         3 …solvers/DHCPSolver.jl   434 solve_dhcp!(T_initial::Array{Floa…
     4         0 …vers/AdjointSolver.jl   381 solve_adjoint!(T_cal::Array{Float…
     5         0 …s/src/sparsevector.jl   438 setindex!
     5         0 …vers/AdjointSolver.jl   149 build_adjoint_system!(λ_initial::…
     5         0 …vers/AdjointSolver.jl   292 assemble_adjoint_matrix(ni::Int64…
     5         0 …vers/AdjointSolver.jl   136 build_adjoint_system!(λ_initial::…
     5         0 …s/src/sparsematrix.jl   149 sparse_check
     5         5 …s/src/sparsematrix.jl  1271 sparse!(I::Vector{Int64}, J::Vect…
     5         0 …tiveSolvers/src/cg.jl   138 cg_iterator!(x::Vector{Float64}, …
     5         0 @Base/array.jl           853 collect_to!(dest::Vector{Float64}…
     5         0 …vers/AdjointSolver.jl   300 assemble_adjoint_matrix(ni::Int64…
     5         0 …s/src/sparsematrix.jl  1250 sparse!(I::Vector{Int64}, J::Vect…
     5         0 …vers/AdjointSolver.jl   266 assemble_adjoint_matrix(ni::Int64…
     5         0 …vers/AdjointSolver.jl   399 solve_adjoint!(T_cal::Array{Float…
     5         0 @Base/boot.jl            593 Array
     5         5 @Base/abstractarray.jl     ? setindex!
     5         0 …solvers/DHCPSolver.jl   171 build_dhcp_system!(T_initial::Arr…
     5         0 @Base/generator.jl        48 iterate
     5         5 @Base/array.jl             ? #2
     5         0 @Base/broadcast.jl       952 preprocess
     5         0 @Base/broadcast.jl       953 preprocess
     5         1 @Base/broadcast.jl       946 broadcast_unalias
     5         0 …vers/AdjointSolver.jl   279 assemble_adjoint_matrix(ni::Int64…
     5         0 @Base/sort.jl            181 searchsortedfirst
     5         0 …vers/AdjointSolver.jl   133 build_adjoint_system!(λ_initial::…
     5         0 …solvers/DHCPSolver.jl   268 assemble_dhcp_matrix(ni::Int64, n…
     5         0 …vers/AdjointSolver.jl   286 assemble_adjoint_matrix(ni::Int64…
     5         0 …tiveSolvers/src/cg.jl    96 iterate(it::IterativeSolvers.PCGI…
     5         0 …lgebra/src/generic.jl   602 norm
     5         0 …vers/AdjointSolver.jl   272 assemble_adjoint_matrix(ni::Int64…
     5         0 …/ThermalProperties.jl    96 thermal_properties_calculator(Tem…
     6         0 …s/src/sparsematrix.jl  1197 sparse!(I::Vector{Int64}, J::Vect…
     6         0 …solvers/DHCPSolver.jl   305 assemble_dhcp_matrix(ni::Int64, n…
     6         0 …s/src/sparsematrix.jl  1274 sparse!(I::Vector{Int64}, J::Vect…
     6         0 …s/src/sparsematrix.jl    38 SparseArrays.SparseMatrixCSC(m::I…
     6         0 …solvers/DHCPSolver.jl   297 assemble_dhcp_matrix(ni::Int64, n…
     6         0 …solvers/DHCPSolver.jl   187 build_dhcp_system!(T_initial::Arr…
     6         0 @Base/abstractarray.jl   426 lastindex
     6         0 @Base/broadcast.jl      1001 copyto!
     6         6 …s/src/sparsematrix.jl  1225 sparse!(I::Vector{Int64}, J::Vect…
     6         6 …/ThermalProperties.jl     ? polyval_numba
     6         6 …s/src/sparsevector.jl     ? setindex!
     6         0 …vers/AdjointSolver.jl   264 assemble_adjoint_matrix(ni::Int64…
     6         0 …solvers/DHCPSolver.jl   188 build_dhcp_system!(T_initial::Arr…
     6         0 …solvers/DHCPSolver.jl   155 build_dhcp_system!(T_initial::Arr…
     6         6 …solvers/DHCPSolver.jl     ? build_dhcp_system!(T_initial::Arr…
     6         6 @Base/array.jl             ? assemble_dhcp_matrix(ni::Int64, n…
     7         0 …solvers/DHCPSolver.jl   276 assemble_dhcp_matrix(ni::Int64, n…
     7         0 …s/src/sparsematrix.jl  4284 diag(A::SparseArrays.SparseMatrix…
     7         7 @Base/math.jl           1213 pow_body(x::Float64, n::Int64)
     7         3 …tiveSolvers/src/cg.jl   232 cg!(x::Vector{Float64}, A::Sparse…
     7         0 …solvers/DHCPSolver.jl   269 assemble_dhcp_matrix(ni::Int64, n…
     7         0 …vers/AdjointSolver.jl   270 assemble_adjoint_matrix(ni::Int64…
     7         0 …solvers/DHCPSolver.jl   156 build_dhcp_system!(T_initial::Arr…
     7         0 …e/multidimensional.jl   927 _unsafe_getindex(::IndexLinear, :…
     7         0 @Base/abstractarray.jl   822 similar
     7         0 @Base/array.jl           372 similar
     7         0 …solvers/DHCPSolver.jl   290 assemble_dhcp_matrix(ni::Int64, n…
     7         7 …s/src/sparsevector.jl     ? _spgetindex
     7         0 …solvers/DHCPSolver.jl   289 assemble_dhcp_matrix(ni::Int64, n…
     7         0 …solvers/DHCPSolver.jl   262 assemble_dhcp_matrix(ni::Int64, n…
     7         7 @Base/Base.jl             49 getproperty
     7         0 …vers/AdjointSolver.jl   305 assemble_adjoint_matrix(ni::Int64…
     7         0 @Base/abstractarray.jl   725 checkbounds_indices
     7         0 @Base/abstractarray.jl   754 checkindex
     7         0 …solvers/DHCPSolver.jl   270 assemble_dhcp_matrix(ni::Int64, n…
     8         8 …s/src/sparsematrix.jl  1173 sparse!(I::Vector{Int64}, J::Vect…
     8         8 @Base/int.jl              86 -
     8         0 @Base/subarray.jl        343 getindex
     8         0 …vers/AdjointSolver.jl   271 assemble_adjoint_matrix(ni::Int64…
     8         8 @Base/math.jl           1214 pow_body(x::Float64, n::Int64)
     8         0 …solvers/DHCPSolver.jl   304 assemble_dhcp_matrix(ni::Int64, n…
     8         0 …solvers/DHCPSolver.jl   437 solve_dhcp!(T_initial::Array{Floa…
     8         0 …solvers/DHCPSolver.jl   296 assemble_dhcp_matrix(ni::Int64, n…
     8         0 …solvers/DHCPSolver.jl   263 assemble_dhcp_matrix(ni::Int64, n…
     8         0 …solvers/DHCPSolver.jl   132 build_dhcp_system!(T_initial::Arr…
     8         8 @Base/float.jl           492 -
     9         0 …vers/AdjointSolver.jl   293 assemble_adjoint_matrix(ni::Int64…
     9         1 …solvers/DHCPSolver.jl   284 assemble_dhcp_matrix(ni::Int64, n…
     9         0 @Base/operators.jl       596 *
     9         9 …/ThermalProperties.jl   101 thermal_properties_calculator(Tem…
     9         0 …solvers/DHCPSolver.jl   275 assemble_dhcp_matrix(ni::Int64, n…
     9         0 …solvers/DHCPSolver.jl   303 assemble_dhcp_matrix(ni::Int64, n…
     9         0 …vers/AdjointSolver.jl   258 assemble_adjoint_matrix(ni::Int64…
     9         0 …solvers/DHCPSolver.jl   283 assemble_dhcp_matrix(ni::Int64, n…
     9         0 …s/src/sparsematrix.jl  1177 sparse!(I::Vector{Int64}, J::Vect…
     9         0 …solvers/DHCPSolver.jl   291 assemble_dhcp_matrix(ni::Int64, n…
     9         0 …solvers/DHCPSolver.jl   298 assemble_dhcp_matrix(ni::Int64, n…
    10         1 @Base/math.jl           1205 pow_body(x::Float64, n::Int64)
    10        10 …s/src/sparsematrix.jl  1240 sparse!(I::Vector{Int64}, J::Vect…
    10         0 …solvers/DHCPSolver.jl   397 solve_dhcp!(T_initial::Array{Floa…
    10         0 @Base/abstractarray.jl   389 eachindex
    10         0 @Base/abstractarray.jl   137 axes1
    10         0 …s/src/sparsematrix.jl  1266 sparse!(I::Vector{Int64}, J::Vect…
    11         0 …s/src/sparsematrix.jl  1267 sparse!(I::Vector{Int64}, J::Vect…
    11         0 …s/src/sparsematrix.jl  4288 diag(A::SparseArrays.SparseMatrix…
    11         0 @Base/broadcast.jl       872 materialize
    11         0 @Base/broadcast.jl       897 copy
    11         0 @Base/math.jl           1222 pow_body(x::Float64, n::Int64)
    11         0 @Base/int.jl             538 >>>
    12         0 …solvers/DHCPSolver.jl   282 assemble_dhcp_matrix(ni::Int64, n…
    13         0 …vers/AdjointSolver.jl   428 solve_adjoint!(T_cal::Array{Float…
    14         0 …solvers/DHCPSolver.jl   140 build_dhcp_system!(T_initial::Arr…
    15         0 …solvers/DHCPSolver.jl   137 build_dhcp_system!(T_initial::Arr…
    15         0 …solvers/DHCPSolver.jl   264 assemble_dhcp_matrix(ni::Int64, n…
    15         0 @Base/array.jl           993 setindex!
    16        16 …s/src/sparsematrix.jl     ? sparse!(I::Vector{Int64}, J::Vect…
    17         0 @Base/abstractarray.jl  1413 setindex!
    17         0 …e/multidimensional.jl   967 _setindex!
    17         0 …e/multidimensional.jl   988 _unsafe_setindex!(::IndexLinear, …
    17         0 …e/multidimensional.jl   979 macro expansion
    17         0 …e/multidimensional.jl   981 macro expansion
    18        18 @Base/abstractarray.jl   697 checkbounds
    18        18 @Base/array.jl             ? build_adjoint_system!(λ_initial::…
    19        19 @Base/int.jl             513 <
    20         3 @Base/array.jl           986 setindex!
    20         0 …s/src/sparsematrix.jl  1224 sparse!(I::Vector{Int64}, J::Vect…
    20         0 @Base/abstractarray.jl   681 checkbounds
    21         6 …vers/AdjointSolver.jl   188 build_adjoint_system!(λ_initial::…
    21         7 …s/src/sparsevector.jl   437 setindex!
    21        21 @Base/math.jl           1202 pow_body(x::Float64, n::Int64)
    23         0 …s/src/sparsematrix.jl  4286 diag(A::SparseArrays.SparseMatrix…
    23         0 @Base/abstractarray.jl    98 axes
    23        23 @Base/array.jl           194 size
    24        24 @Base/array.jl          1112 _growend!
    25         0 …solvers/DHCPSolver.jl   124 build_dhcp_system!(T_initial::Arr…
    28         0 …vers/AdjointSolver.jl   415 solve_adjoint!(T_cal::Array{Float…
    29        10 …solvers/DHCPSolver.jl   192 build_dhcp_system!(T_initial::Arr…
    29         0 …e/multidimensional.jl   929 _unsafe_getindex(::IndexLinear, :…
    29         0 …e/multidimensional.jl   948 _unsafe_getindex!
    29         0 …e/multidimensional.jl   938 macro expansion
    29         0 …e/multidimensional.jl   940 macro expansion
    30         0 @Base/math.jl           1224 pow_body(x::Float64, n::Int64)
    30         0 …solvers/DHCPSolver.jl   123 build_dhcp_system!(T_initial::Arr…
    31         0 …solvers/DHCPSolver.jl   433 solve_dhcp!(T_initial::Array{Floa…
    34         0 …vers/AdjointSolver.jl   117 build_adjoint_system!(λ_initial::…
    34        34 …gebra/src/diagonal.jl   494 ldiv!(B::Vector{Float64}, D::Line…
    34         0 …solvers/DHCPSolver.jl   374 solve_dhcp!(T_initial::Array{Floa…
    35         0 @Base/math.jl           1225 pow_body(x::Float64, n::Int64)
    35         0 …/ThermalProperties.jl    87 thermal_properties_calculator(Tem…
    35         0 …tiveSolvers/src/cg.jl   221 cg!(x::Vector{Float64}, A::Sparse…
    35         0 …olvers/src/history.jl   169 reserve!(ch::IterativeSolvers.Con…
    35         0 …olvers/src/history.jl   172 reserve!
    35         0 …olvers/src/history.jl   182 _reserve!
    36        36 @Base/array.jl             ? build_dhcp_system!(T_initial::Arr…
    36         0 @Base/abstractarray.jl  1312 getindex
    36         0 …e/multidimensional.jl   915 _getindex
