 Count  Overhead File                    Line Function
     2         0 …vers/AdjointSolver.jl   157 build_adjoint_system!(λ_initial::…
     2         2 @Base/iterators.jl       207 iterate
     2         0 …s/src/sparsematrix.jl  1185 sparse!(I::Vector{Int64}, J::Vect…
     2         0 @Base/boot.jl            585 Array
     2         0 …s/src/sparsematrix.jl  4283 diag(A::SparseArrays.SparseMatrix…
     2         0 @Base/sort.jl            181 searchsortedfirst
     2         0 @Base/broadcast.jl       223 similar
     2         0 @Base/broadcast.jl       226 similar
     2         0 @Base/bitarray.jl         71 BitArray
     2         0 @Base/broadcast.jl       969 copyto!
     2         0 @Base/broadcast.jl       952 preprocess
     2         0 @Base/broadcast.jl       955 preprocess_args
     2         0 @Base/broadcast.jl       956 preprocess_args
     2         0 @Base/broadcast.jl       953 preprocess
     2         0 @Base/broadcast.jl       946 broadcast_unalias
     2         0 @Base/abstractarray.jl  1500 unalias
     2         0 @Base/abstractarray.jl  1537 mightalias
     2         0 @Base/abstractarray.jl  1562 dataids
     2         2 @Base/Base.jl              ? __safe_setindex!
     2         2 @Base/essentials.jl        ? build_adjoint_system!(λ_initial::…
     2         0 …tiveSolvers/src/cg.jl    82 iterate(it::IterativeSolvers.PCGI…
     2         2 …lgebra/src/generic.jl   603 norm(itr::Vector{Float64}, p::Int…
     2         0 …e/multidimensional.jl   702 getindex
     2         0 @Base/subarray.jl        214 view
     2         0 @Base/abstractarray.jl   689 checkbounds
     2         2 …arAlgebra/src/blas.jl   428 nrm2(n::Int64, X::Ptr{Float64}, i…
     2         0 …s/src/sparsevector.jl   435 setindex!
     2         0 …s/src/sparsematrix.jl  1272 sparse!(I::Vector{Int64}, J::Vect…
     2         2 @Base/float.jl             ? build_adjoint_system!(λ_initial::…
     3         3 …gebra/src/diagonal.jl   482 ldiv!(B::Vector{Float64}, D::Line…
     3         0 …vers/AdjointSolver.jl   182 build_adjoint_system!(λ_initial::…
     3         3 @Base/Base.jl              ? push!
     3         0 …vers/AdjointSolver.jl   141 build_adjoint_system!(λ_initial::…
     3         0 …vers/AdjointSolver.jl   149 build_adjoint_system!(λ_initial::…
     3         0 …solvers/DHCPSolver.jl   134 build_dhcp_system!(T_initial::Sub…
     3         0 …arAlgebra/src/blas.jl   437 nrm2
